BE (eV)	0 min	1 min	8 min	14 min	17 min	24 min
217	722.963	705.744	797.749	1091.63	1224.87	822.113
216.9	727.848	710.987	738.703	1133.58	1254.84	894.283
216.8	771.521	765.004	755.233	1088.43	1209.72	891.715
216.7	756.923	760.644	764.161	1063.07	1284.62	919.167
216.6	753.244	772.697	797.072	1069.52	1196.38	934.393
216.5	686.269	703.068	764.397	1071.08	1215.4	880.207
216.4	683.811	756.305	812.856	1034.01	1178.09	873.081
216.3	743.748	779.992	736.391	1046.92	1239.14	917.123
216.2	697.456	734.015	777.393	1130.84	1134.04	929.465
216.1	729.104	732.176	739.744	1108.5	1200.74	872.045
216	697.812	753.411	798.704	1097.79	1205.89	830.405
215.9	727.693	787.455	750.905	1063.22	1200.61	909.635
215.8	718.981	739.671	785.027	1118.58	1109.59	856.377
215.7	740.796	703.337	789.607	1025.83	1153.65	843.76
215.6	708.792	748.969	768.355	1053.3	1157.33	883.837
215.5	774.127	710.915	811.805	1065.23	1100.21	824.428
215.4	691.048	764.635	785.109	1031.39	1158.79	879.157
215.3	709.257	712.464	759.701	947.191	1191.57	827.032
215.2	730.392	718.697	775.021	1070.58	1149.44	805.504
215.1	720.915	728.847	768.289	1073.38	1139.58	852.125
215	790.099	710.492	746.404	1025.06	1113.77	847.329
214.9	743.591	767.227	805.468	963.943	1168.61	870.711
214.8	726.743	781.019	757.436	1049.38	1119.24	846.743
214.7	702.852	729.976	777.847	1014.02	1095.73	865.54
214.6	729.224	746.491	716.324	1045.69	1173.46	906.959
214.5	746.293	729.652	730.937	954.021	1145.47	861.721
214.4	703.432	765.167	745.107	948.688	1108	776.985
214.3	759.717	761.044	726.856	962.347	1114.19	856.607
214.2	639.809	729.544	700.285	1015.35	1048.02	781.368
214.1	748.845	764.848	786.773	1013.22	1080.43	779.387
214	748.189	697.076	746.636	984.564	1109.92	870.132
213.9	709.397	740.896	768.964	1008.62	1119.64	821.963
213.8	682.964	728.909	738.392	976.505	1076.91	884.532
213.7	703.783	745.567	725.724	987.845	1135.81	845.504
213.6	741.757	757.708	807.704	998.557	1081.78	908.424
213.5	694.252	756.148	757.267	1007.69	1150.54	779.513
213.4	810.629	761.032	772.744	986.753	1071.87	776.191
213.3	736.1	754.432	711.099	989.191	1146.01	803.805
213.2	697.599	753.208	777.293	941.483	1069.56	780.888
213.1	714.44	757.703	718.697	933.616	1085.53	783.121
213	743.064	748.247	756.725	965.992	1115.53	804.855
212.9	744.613	766.116	715.332	939.405	1037.07	774.655
212.8	798.712	702.136	774.357	1004.92	1130.5	832.312
212.7	733.581	745.884	746.761	903.252	1140.18	806.851
212.6	746.361	739.891	725.72	980.329	1117.02	804.652
212.5	680.381	724.243	749.58	914.387	1116.71	864.415
212.4	674.776	783.572	743.945	977.099	1034.09	843.744
212.3	687.996	736.443	748.201	990.424	1080.58	814.968
212.2	724.381	744.139	772.037	962.995	1110.22	743.649
212.1	759.369	743.824	740.237	927.483	1126.59	819.752
212	755.203	730.632	779.131	947.923	1100.6	806.685
211.9	768.996	729.436	749.657	938	1111.39	767.639
211.8	741.103	758.311	750.297	960.095	1093.14	809.577
211.7	738.951	731.775	680.443	922.267	1105.24	791.512
211.6	706.797	761.487	760.024	892.204	1055.66	849.208
211.5	714.801	730.848	801.109	981.319	1056.7	787.084
211.4	702.856	697.621	754.679	875.976	1050.24	817.963
211.3	790.081	746.472	705.377	900.955	1085.66	784.464
211.2	741.14	712.325	734.607	917.917	1106.27	791.216
211.1	751.752	732.089	726.571	965.329	1083.86	767.031
211	713.829	754.785	720.643	941.145	1086.5	854.204
210.9	781.855	780.884	683.981	919.715	1092.37	837.328
210.8	826.031	758.965	743.968	910.464	1087.38	833.203
210.7	720.733	781.159	754.809	924.211	1087.64	761.329
