BE (eV)	0 min	1 min	8 min	14 min	17 min	24 min
110	232.086	270.198	439.738	351.174	232.404	285.548
109.9	232.27	272.222	423.756	342.014	275.394	280.366
109.8	239.944	303.312	404.228	308.358	241.728	285.944
109.7	222.08	260.344	417.352	349.688	258.472	271.784
109.6	283.446	293.548	360.568	329.844	253.532	226.252
109.5	302.086	282.532	367.988	302.214	222.096	279.964
109.4	252.326	305.852	368.076	309.566	234.028	272.464
109.3	255.964	286.304	346.466	292.772	240.176	284.026
109.2	250.026	310.364	433.554	311.804	283.468	301.67
109.1	245.682	417.116	409.822	274.164	242.322	289.546
109	200.758	296.508	399.756	339.852	244.306	270.428
108.9	285.136	365.464	382.014	351.894	249.588	267.792
108.8	226.228	318.14	363.728	329.724	238.21	269.844
108.7	222.054	301.722	365.786	320.474	226.244	256.596
108.6	253.89	286.184	291.296	333.108	247.736	271.988
108.5	241.998	295.85	393.44	235.072	266.452	325.506
108.4	210.302	294.498	327.886	313.406	259.322	246.054
108.3	250.04	319.926	335.894	274.438	220.08	262.074
108.2	251.98	300.018	327.768	327.418	261.836	252.204
108.1	261.602	275.684	330.106	305.994	250.424	311.428
108	228.454	242.526	332.162	274.38	269.94	230.324
107.9	247.694	287.9	349.864	291.542	239.654	248.128
107.8	254.04	289.804	302.31	266.242	253.84	235.858
107.7	234.088	288.312	330.054	290.326	222.228	254.188
107.6	221.752	289.634	330.144	285.738	243.806	252.122
107.5	210.216	272.302	354.008	270.36	218.626	253.886
107.4	211.91	286.082	299.364	276.144	221.81	198.256
107.3	233.92	311.322	323.52	307.596	222.324	219.284
107.2	208.086	248.52	312.872	289.98	273.812	262.268
107.1	210.35	325.198	326.392	260.572	255.464	240.606
107	227.622	232.684	335.488	301.616	258.16	285.65
106.9	202.262	291.566	250.394	301.772	244.062	253.998
106.8	233.506	231.008	329.292	304.106	251.698	261.644
106.7	204.566	265.654	298.782	315.898	206.154	236.076
106.6	245.736	257.352	321.786	292.222	225.994	214.028
106.5	213.968	250.718	329.696	269.872	265.486	232.02
106.4	234.424	323.594	354.094	281.858	214.702	216.182
106.3	267.17	295.764	339.758	260.4	207.914	246.208
106.2	200.322	266.426	294.65	311.668	192.199	289.406
106.1	209.802	269.92	363.236	268.566	276.018	216.268
106	200.474	247.926	302.12	303.204	255.526	252.182
105.9	225.912	262.142	301.752	252.912	204.732	279.278
105.8	238.06	231.944	320.674	301.296	263.91	281.98
105.7	252.312	248.144	272.156	291.968	275.86	268.352
105.6	271.656	303.48	283.514	261.944	262.232	297.946
105.5	268.156	252.336	324.136	275.914	269.668	260.086
105.4	277.816	276.27	341.582	270.214	234.262	313.514
105.3	273.656	289.562	280.338	261.96	246.268	274.412
105.2	270.998	276.194	272.66	241.892	245.526	310.298
105.1	341.944	319.772	315.154	258.608	204.072	314.412
105	388.714	274.306	262.028	297.602	259.914	319.86
104.9	465.586	272.258	264.238	268.472	236.062	349.928
104.8	507.792	344.27	286.036	309.33	238.034	332.036
104.7	504.924	358.41	283.81	291.892	220.13	333.98
104.6	598.006	397.718	282.262	283.874	281.81	371.512
104.5	701.796	391.958	301.714	260.316	237.846	346.252
104.4	750.338	437.676	296.448	260.074	241.948	341.968
104.3	781.778	453.978	341.644	280.534	252.174	347.752
104.2	882.036	500.23	285.864	289.478	253.886	318.64
104.1	934.31	518	246.606	274.232	246.27	331.968
104	988.532	532.54	301.42	278.208	236.04	345.906
103.9	1052.95	605.856	272.338	287.62	285.514	318.228
103.8	960.284	591.784	291.664	264.292	238.16	347.736
103.7	1108.1	617.546	264.418	297.232	221.964	331.282
103.6	1057.93	612.444	289.878	306.438	241.81	308.258
103.5	1036.64	669.75	297.778	321.278	208.346	276.458
103.4	1072.53	721.938	286.326	266.662	240.272	301.594
103.3	960.832	684.21	277.492	293.906	261.434	312.036
103.2	1023.11	698.506	290.106	236.536	242.608	280.252
103.1	920.108	743.34	270.16	277.616	266.184	284.148
103	860.338	674.164	303.892	317.978	228.122	306.412
102.9	829.148	666.474	319.86	291.818	289.268	351.088
102.8	712.454	677.694	302.034	264.42	232.19	278.748
102.7	722.54	678.258	250.404	269.588	245.914	317.528
102.6	693.23	709.938	285.678	270.41	218.386	302.162
102.5	596.676	708.14	260.668	282.264	281.268	329.6
102.4	615.438	687.982	285.38	347.216	244.528	274.13
102.3	537.636	695.978	270.066	274.124	265.992	258.336
102.2	524.606	691.752	279.796	296.056	272.14	287.938
102.1	549.248	659.748	305.696	302.514	251.816	327.648
102	483.736	592.06	286.532	353.542	296.042	306.608
101.9	464.29	584.312	321.65	306.184	273.98	329.616
101.8	462.056	611.772	272.526	321.94	276.256	337.63
101.7	379.914	655.786	267.802	342.14	307.892	288.732
101.6	358.596	642.386	317.622	370.866	312.356	386.036
101.5	403.998	702.886	306.668	461.534	350.108	402.178
101.4	424.182	740.424	350.41	449.718	378.034	419.96
101.3	475.434	823.134	394.398	418.656	418.238	499.552
101.2	406.372	778.136	463.66	514.208	444.162	490.98
101.1	480.434	789.926	489.202	610.106	482.218	590.136
101	587.906	976.532	620.306	585.556	581.876	672.404
100.9	638.316	1021.5	756.876	877.606	660.428	826.826
100.8	751.14	1241.16	1022.38	971.62	783.068	957.674
100.7	959.796	1328.77	1391.7	1283.07	930.27	1182.38
100.6	1214.69	1673.42	1750.44	1644	1137.54	1453.59
100.5	1450.28	1967.36	2248.88	1966.61	1599.99	1622.81
100.4	1725.39	2211.72	2903.58	2483.04	1867.54	2141.44
100.3	1998.75	2500.06	3201.8	2896.9	2110.82	2435.22
100.2	2144.94	2774.4	3796.08	3221.36	2441	2769.06
100.1	2336.28	2844.58	4013.94	3489.46	2890.78	2950.14
100	2534.54	2893.68	4304.28	3762.12	3035.72	3141.82
99.9	2582.38	3003.76	4437.52	3917.24	3408.02	3427.32
99.8	2743.82	3107.02	4820.8	4305.16	3372.24	3569.24
99.7	2588.46	3182.84	5170.82	4434.88	3647.7	3577.92
99.6	2539.7	3033	4996.6	4304.82	3424.1	3601.68
99.5	2249.54	2695.06	4266.7	4036.16	3366.42	3240.08
99.4	1849.4	2088.52	3758.5	3448.22	3014.26	2936.92
99.3	1280.62	1573.98	2952.12	2736.02	2427.12	2059.88
99.2	913.892	1106.01	2009.58	1972.39	1796.19	1550.92
99.1	560.276	696.298	1383.54	1436.9	1260.03	1034.71
99	334.318	503.772	824.472	879.398	810.204	690.66
98.9	241.772	310.59	510.804	547.518	488.694	501.244
98.8	197.997	267.804	389.778	360.198	355.954	292.014
98.7	122.395	175.963	283.92	270.286	261.978	246.054
98.6	135.551	153.997	259.934	235.812	200.06	204.06
98.5	136.06	138.216	210.052	202.014	136.389	182.009
98.4	94.034	138.156	126.429	168.253	159.71	144.239
98.3	90.0512	117.844	143.884	179.531	156.207	153.608
98.2	84.1904	108.099	139.869	166.241	130.091	108.168
98.1	90.1846	98.1306	126.051	134.318	127.923	94.2046
98	113.628	77.9262	114.06	169.403	139.983	124.003
97.9	78.4346	81.7358	125.983	145.952	121.963	94.1278
97.8	93.8466	92.1164	114.372	132.173	92.2698	109.81
97.7	81.8296	105.881	129.503	139.972	117.554	92.2244
97.6	68.125	79.963	126.034	142.219	94.4432	104.063
97.5	74.0796	76.1222	120.097	132.179	119.83	103.778
97.4	101.761	68.2216	131.645	138.034	98.0966	102.085
97.3	77.9488	87.7472	96.3636	169.753	111.912	101.952
97.2	102.176	76	112	125.807	109.952	129.849
97.1	86.2244	64.1108	121.872	136.287	90.0568	102.304
97	101.733	60.0768	130.054	135.824	119.793	105.886
96.9	71.9518	67.9488	131.974	129.915	102.318	127.858
96.8	86.2954	67.9546	118.128	94.2982	128.074	108.116
96.7	93.8324	68.3268	108.205	112.065	133.432	123.818
96.6	93.7414	89.733	113.753	122.08	80.5852	114.207
96.5	78.1336	86	88.0482	159.531	113.733	99.8664
96.4	76.054	83.8608	101.804	110.557	108.003	88.2642
96.3	91.6478	74.1676	106.011	133.534	119.628	85.9376
96.2	98.1676	71.9432	92.2982	96.5426	92.1988	125.565
96.1	64.3608	81.8806	125.872	145.528	98.2244	80.537
96	99.7046	86.0198	127.73	122.031	104.153	106.043
95.9	92.0568	74.3352	90.6392	133.798	117.685	109.571
95.8	76.0454	95.4772	153.597	132.063	128.239	76.4262
95.7	70.2272	64.3836	111.881	127.827	105.906	105.744
95.6	83.9546	80.0312	105.952	108.42	89.9176	119.997
95.5	91.8664	68.1278	86.2472	128.06	82.1648	88.1676
95.4	76	87.733	103.483	149.753	101.821	96.4518
95.3	62.1222	80.125	80.4886	126.33	100.284	127.551
95.2	55.9034	90.054	92.341	135.679	145.469	102.043
95.1	85.7556	89.963	125.406	110.091	112.327	123.756
95	96.0824	78.0284	88.0852	111.798	118.094	109.966
94.9	90.0426	86.0938	107.997	97.9972	119.886	85.9546
94.8	96.0852	103.526	112.011	99.892	109.852	84.3522
94.7	75.983	68.2188	136.134	116.321	90.5568	78.0596
94.6	86.1876	85.9744	123.915	114.443	121.659	86.1364
94.5	95.6904	95.7982	116.065	143.398	117.923	105.523
94.4	64.2472	70.5852	97.892	90.2614	104.062	84.5056
94.3	83.8324	91.6704	86.4488	124.071	68.3466	113.761
94.2	76.267	70.0596	117.389	127.892	151.574	109.889
94.1	101.795	63.8948	70.6762	106.125	100.136	89.8238
94	93.767	70.2472	127.287	129.892	118.207	90.0824
